Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
Jeep, Avenger Electric 1st Edition,50.8 ,9.0 ,150 ,295 ,172 ,470 ,Front Wheel Drive,5,39900,36500
Mercedes, EQS SUV 500 4MATIC,108.4 ,5.2 ,210 ,485 ,224 ,630 ,All Wheel Drive,7,124545,
Volvo, XC40 Recharge Single Motor,66 ,7.3 ,180 ,345 ,191 ,420 ,Rear Wheel Drive,5,47500,46505
Volvo, XC40 Recharge Single Motor ER,79 ,7.3 ,180 ,405 ,195 ,600 ,Rear Wheel Drive,5,53000,
Volvo, XC40 Recharge Twin Motor,79 ,4.8 ,180 ,390 ,203 ,580 ,All Wheel Drive,5,59950,51755
Volvo, C40 Recharge Single Motor,66 ,7.3 ,180 ,355 ,186 ,430 ,Rear Wheel Drive,5,47500,48355
Volvo, C40 Recharge Single Motor ER,79 ,7.3 ,180 ,420 ,188 ,630 ,Rear Wheel Drive,5,54450,
Volvo, C40 Recharge Twin Motor,79 ,4.7 ,180 ,400 ,198 ,600 ,All Wheel Drive,5,61400,53605
Renault, Kangoo E-Tech Electric,44 ,12.6 ,132 ,215 ,205 ,230 ,Front Wheel Drive,5,39300,
Maserati, GranTurismo Folgore,83 ,2.7 ,320 ,425 ,195 ,990 ,All Wheel Drive,4,250000,200000
Seres, 3,51 ,8.9 ,155 ,260 ,196 ,240 ,Front Wheel Drive,5,,
VinFast, VF 8 Eco Standard Range,82 ,5.9 ,200 ,405 ,202 ,560 ,All Wheel Drive,5,61700,
VinFast, VF 8 Eco Extended Range,87.7 ,5.9 ,200 ,425 ,206 ,550 ,All Wheel Drive,5,63850,
VinFast, VF 8 Plus Standard Range,82 ,5.5 ,200 ,400 ,205 ,560 ,All Wheel Drive,5,68700,
